CONT_ID,marital_divorced,marital_married,marital_single,marital_unknown,education_Basic,education_high_school,education_professional_course,education_university_degree,education_unknown,housing_no,housing_unknown,housing_yes,loan_no,loan_unknown,loan_yes,day_of_week_fri,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed
18082,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
40352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36972,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
20616,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
41411,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
40961,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
20615,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28663,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
49019,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
16745,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20591,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
45836,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10722,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
13516,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
15191,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
43077,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
9406,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3594,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
9770,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
13643,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43316,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
15438,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
27180,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9692,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
27225,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4131,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
49916,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11101,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
39125,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
23519,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28871,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
28950,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
42945,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
5322,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
20625,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
17516,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
23819,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
37442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20262,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18865,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
30423,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
9470,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
696,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
47205,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28712,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1442,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
41816,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
6844,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
7919,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
32438,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
48272,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
39338,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
50178,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
23753,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
47254,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
23612,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
50880,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
24017,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
34365,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
49751,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
50976,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
47596,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
4180,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33181,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
42633,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
30420,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
3735,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
36764,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
12035,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
33518,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47236,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
42717,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
11088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44963,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
7244,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
14612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
39813,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
46001,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
22233,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
45733,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
9554,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11534,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
2796,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34328,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
22915,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39541,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
26426,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
26701,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
6610,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
8855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9453,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
29174,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
7247,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
45263,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12620,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
20786,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
25141,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
4567,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1566,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
35060,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
30446,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
46821,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35350,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14695,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
24741,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46367,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2908,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
17509,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45498,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
6503,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
43028,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
15754,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
48065,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
25420,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
37549,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
4293,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22993,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
40347,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
